"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2021-03-07 06:00:00",,,,,,,,,81,,,,,,,,72
"2021-03-08 06:00:00",,,,,,,,,,,,,,,,,,,,,,,,,74
"2021-03-09 06:00:00",,,,,,,,,,,88,,,,,,,,,,,,,75
"2021-03-10 06:00:00",,,,,,77,,,,,,,,,,,,,86
"2021-03-11 06:00:00",,,,,,,71
"2021-03-12 06:00:00",,,,60,,,,,,,,,,,,,,87,,37
"2021-03-14 06:00:00",,,,,,,,,,,,,,,66
"2021-03-15 05:00:00",,,,,71,,,92,,83,,,85,,,83,,,,,,81,,,,76
"2021-03-16 05:00:00",,,,,,,,,,,84,,,,,,71,,,,,,74,,74
"2021-03-17 05:00:00",,,,,,80
"2021-03-18 05:00:00",,,,,,,,,,,,,,,,,,,89
"2021-03-21 05:00:00",,,,,75,,,,,,,,,,,,,,,,,,,71
"2021-03-22 05:00:00",,,,,,,,,72,,,,,,,,,,,,84,,,,77
"2021-03-23 05:00:00",,,,,,,,,,,86
"2021-03-24 05:00:00",,,,,,79,,,,,,,,,,,,,86,36
"2021-03-25 05:00:00",,,,,,,69
"2021-03-26 05:00:00",,,,,,,,,,,,,,,,,,89
"2021-03-28 05:00:00",,,,,,,,,72
"2021-03-29 05:00:00",,,,64,,,,88,,82,,,86,,71,81,,,,,87,82,,,,77
"2021-03-30 05:00:00",,,,,,,,,,,84
"2021-03-31 05:00:00",,,,,,80,,,,,,,,,,,,,,,,,,,73
"2021-04-01 05:00:00",,,,,,,,,,,,,,,,,,,88
"2021-04-04 05:00:00",,,,,,,,,72
"2021-04-05 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,,74
"2021-04-06 05:00:00",,,,,,,,,,,81
"2021-04-08 05:00:00",,,,,,80,70,,,,,,,,,,,,,43
"2021-04-09 05:00:00",,,,,,,,,,,,,,,,,,90,,,,,,73
"2021-04-11 05:00:00",,,,,76,,,,76
"2021-04-12 05:00:00",,,,65,,,,88,,81,,,87,,76,84,,,,,87,84,,,72
"2021-04-13 05:00:00",,,,,,,,,,,85,,,,,,,,,,,,,,,75
"2021-04-14 05:00:00",,,,,,77,,,,,,,,,,,,,91
"2021-04-18 05:00:00",,,,,,,,,74
"2021-04-19 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,,69
"2021-04-20 05:00:00",,,,,,,,,,,84,,,,,,,,,,,,,73
"2021-04-21 05:00:00",,,,,,78,,,,,,,,,,,,,88,,,,75
"2021-04-23 05:00:00",,,,,,,71,,,,,,,,,,,89
"2021-04-25 05:00:00",,,,,,,,,76
"2021-04-26 05:00:00",,,,,,,,,,82,,,89,,,85,,,,,87,86,,,,76
"2021-04-27 05:00:00",,,,,,,,90,,,84,,,,,,,,,,,,75
"2021-04-28 05:00:00",,,,,,79
"2021-05-01 05:00:00",,,,,,,,,,,,,,,,,,,87
"2021-05-02 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,,72
"2021-05-03 05:00:00",,,,,,,,,78
"2021-05-04 05:00:00",,,,,,,,,,,82
"2021-05-05 05:00:00",,,,,73
"2021-05-06 05:00:00",,,,,,,70
"2021-05-07 05:00:00",,,,,,,,,,,,,,,,,,89,88,43,,,,71
"2021-05-10 05:00:00",,,,60,,,,86,78,81,,,88,,69,84,,,,,87,87,71,,,75
